,id,title,original_title,overview,release_date,year,budget,revenue,profit,runtime,popularity,vote_average,vote_count,genres,production_companies,production_countries,spoken_languages
397,898627.0,Goretech: Welcome To Planet M*therfucker,Goretech: Bienvenidos al planeta hijo de p*ta,"Earth succumbed to a nuclear war caused by an infamous evil being known as Dr Hell, who today dominates the world with his technology from a distant planet called Goretech. Now the world is only violence and death and humanity is inexorably approaching its extinction, as there are no women left alive. A timorous and cowardly young man named Han meets a mythical curmudgeonly old man who will teach him the secret of martial arts, and together they will fight to end the tyranny of the sinister Dr Hell.",2012-10-20,2012.0,0.0,0.0,0,81.0,1.3983,3.0,1.0,"Horror,Science Fiction,Comedy,Action",Gorevisión Films,Argentina,Español
398,763648.0,Self,Próprio,"The movie follows Fernando, a 16-year-old teenager from the conservative countryside of Sao Paulo as he decides to meet up with an online hook up after being mercilessly teased by his friends for being a virgin. Fernando hides his homosexuality from everyone and ends up meeting his date, an older man, in a remote area of the woods where they are both out of sight. The sexual encounter promises to be a romantic one but ends up being a traumatic episode that will undoubtedly haunt Fernando the rest of his life.",2020-11-12,2020.0,0.0,0.0,0,14.0,0.2993,1.0,2.0,,Driven Equation,Brazil,Português
401,249011.0,Water Wrackets,Water Wrackets,Multifarious images of a lake are overlaid with water effects and a narrated history of the campaigns fought by the fictional water-wracket army.,1978-01-01,1978.0,0.0,0.0,0,12.0,4.624,5.8,15.0,Fantasy,BFI,United Kingdom,English
403,706553.0,Fat Kathy,Gruba Kaśka,"In the city water pump there are 8 clams. The lives of millions of people depend on them. In case of contamination of water supply, the clams will close and automatically shut off the water for the city. The main scientist-malacologist watches over the system's operation. The film is a philosophical essay on dependence people from nature and the world around them.",2019-10-11,2019.0,0.0,0.0,0,14.0,1.9184,6.0,1.0,Documentary,"Studio Munka,Stowarzyszenie Filmowców Polskich",Poland,Polski
404,661954.0,Every Woman's Husband,Every Woman's Husband,A young woman whose domineering mother almost ruins her marriage eventually learns that mother does not always know best when her father commits suicide.,1918-07-17,1918.0,0.0,0.0,0,50.0,0.4739,0.0,0.0,Drama,Triangle Film Corporation,United States of America,
407,614917.0,King Richard,King Richard,"The story of how Richard Williams served as a coach to his daughters Venus and Serena, who will soon become two of the most legendary tennis players in history.",2021-11-18,2021.0,50000000.0,39400000.0,-10600000,144.0,7.9257,7.614,2703.0,"Drama,History","Star Thrower Entertainment,Westbrook,Warner Bros. Pictures,Overbrook Entertainment",United States of America,English
408,699996.0,Yesterway,Yesterway,"It's a novel portrayal of the recent past that just vanished, with one big comma that stopped the world from finishing it's sentence. After a break from ‘Indarella’, Ralf Schmerberg presents a 98-minute trip through an illustrious decade of vividness that just happened, yesterday. His undying will to create urged the filmmaker to ransack his archive during this lockdown. Spanning all continents, crossing cultural boundaries and encompassing humanity; you browse through this poetry as you sip on the past and taste this passing phase even better. The Background score by the Berlin-based multi-art-collective Music Ashram is put together by Music Director Tobias Feltes. It creates an ambiance with ornate sounds; from gongs to drones, voices, electronic sounds and beyond. The film takes you in and out of dinners, parks, clubs, streets; and people's lives like a paradoxical rollercoaster. Vivid, bold, colourful and effervescent. ‘Yesterway’.",,,0.0,0.0,0,107.0,0.0752,0.0,0.0,,,,
410,881470.0,Everything's Gonna Be Okay,Everything's Gonna Be Okay,Two men take a depressing road trip to god knows where.,2021-05-15,2021.0,0.0,0.0,0,5.0,0.0214,0.0,0.0,Drama,,,English
412,672764.0,Der Mann um Mitternacht,Der Mann um Mitternacht,,1925-02-02,1925.0,0.0,0.0,0,0.0,0.1278,0.0,0.0,,,Germany,
414,889943.0,黑暗中的一束光,黑暗中的一束光,,2018-04-10,2018.0,0.0,0.0,0,0.0,0.9176,0.0,0.0,Drama,,,普通话
415,586426.0,Tiger Oak + Echo,Tiger Oak + Echo,"When Echo, who longs for his older brother's approval, is allowed to join a risky ambush against the Soviet forces, he makes a mistake that costs him everything.",2018-11-21,2018.0,0.0,0.0,0,20.0,0.0892,0.0,0.0,"Action,Drama,History,War","Never Ever,Cysfilm","Lithuania,United States of America",
416,539221.0,Sous la Terreur,Sous la Terreur,"During the French Revolution in 1793, a member of the Convention, seduced by the Comtesse de Beaulieu, helps her to discover the truth about the relationship between Agnès de Fitz-James and the count who was guillotined.",1936-05-22,1936.0,0.0,0.0,0,77.0,0.3872,0.0,0.0,"Drama,History",,France,Français
